influencer_id,name,platform,niche,country,followers,following,follower_following_ratio,posts,account_creation_year,account_age_days,posting_freq_per_week,avg_likes,avg_comments,avg_views,engagement_rate,follower_growth_30d,bot_score,fraud_flag,sentiment_score,content_type,relevance_score,age_13_17_pct,age_18_24_pct,age_25_34_pct,age_35_44_pct,age_45_plus_pct,male_pct,female_pct,other_pct,estimated_cpa,estimated_roi_score
inf_100000,Blake Wang,Instagram,Travel,Kenya,34830,7955,4.38,32,2018,2668,6,420,64,1483,0.0133,721,0.349,0,0.75,Photo,0.151,0.114,0.253,0.251,0.074,0.308,0.301,0.694,0.004,1145.4,0
inf_100001,Alex Harris,Twitter,Food,Germany,11871,1695,7,354,2019,2528,3,243,37,897,0.0334,87,0.089,0,0.239,Text,0.188,0.011,0.086,0.138,0.091,0.674,0.734,0.264,0.002,559.51,0.016
inf_100002,Avery Nguyen,TikTok,Art,Kenya,22008,1236,17.81,207,2017,3203,3,810,92,23192,0.0272,1480,0.218,0,-0.047,Short,0.098,0.006,0.089,0.241,0.126,0.537,0.517,0.479,0.004,338.43,0.056
inf_100003,Morgan Garcia,YouTube,Entertainment,United Kingdom,995,166,5.99,91,2016,3521,3,18,2,360,0.0215,12,0.673,0,-0.211,Long-form,0.285,0.018,0.213,0.341,0.22,0.207,0.594,0.405,0,613.23,0.046
inf_100004,Dakota Wang,Instagram,Parenting,Brazil,44421,11254,3.95,139,2019,2284,7,788,131,2820,0.0192,-1701,0.283,0,-0.202,Photo,0.048,0.031,0.163,0.396,0.129,0.281,0.588,0.409,0.003,427.3,0
inf_100005,Kai Harris,Instagram,Food,Germany,9704,766,12.67,471,2019,2462,3,419,70,893,0.0326,-28,0.145,0,0.026,Photo,0.111,0.068,0.19,0.281,0.285,0.176,0.077,0.923,0,485.08,0
inf_100006,Kendall Thomas,Instagram,Beauty,Spain,3538,268,13.2,200,2021,1552,1,130,16,258,0.036,242,0.27,0,0.329,Photo,0.266,0.02,0.104,0.363,0.043,0.47,0.512,0.485,0.003,218.52,0.02
inf_100007,Taylor Taylor,TikTok,Lifestyle,Australia,9273,1740,5.33,102,2021,1536,4,202,4,11469,0.0207,-156,0.44,0,0.068,Live,0.043,0.056,0.123,0.128,0.17,0.524,0.386,0.614,0.001,869.54,0.009
inf_100008,Emerson Smith,YouTube,Health,Germany,516,151,3.42,26,2023,919,3,6,0,733,0.0159,-2,0.055,1,0.054,Long-form,0.211,0.003,0.182,0.326,0.109,0.38,0.108,0.882,0.009,1444.6,0.043
inf_100009,Alex Johnson,TikTok,Photography,Indonesia,14176,751,18.88,70,2016,3572,6,47,7,18731,0.0033,800,0.632,0,-0.5,Short,0.375,0.056,0.128,0.471,0.057,0.288,0.804,0.191,0.005,1355.31,0
